Date,Open,High,Low,Close,Volume
7-Jul-17,209.23,213.75,209.23,212.32,444206
6-Jul-17,206.96,210.25,205.16,208.84,624585
5-Jul-17,209.24,211.06,207.19,208.03,582591
3-Jul-17,211.55,212.47,209.19,209.92,176950
30-Jun-17,211.27,213.65,210.61,211.53,534761
29-Jun-17,213.51,213.51,207.76,210.75,652595
28-Jun-17,213.51,214.49,211.27,213.60,739772
27-Jun-17,219.44,219.44,213.00,213.14,620804
26-Jun-17,217.52,221.58,217.06,218.88,567332
23-Jun-17,217.89,218.63,215.70,217.05,624117
22-Jun-17,216.08,218.43,215.18,218.09,571855
21-Jun-17,215.57,216.79,214.96,216.09,402748
20-Jun-17,215.84,217.62,214.01,215.03,601834
19-Jun-17,211.13,215.87,211.02,215.73,920144
16-Jun-17,209.82,211.95,208.93,210.84,1406718
15-Jun-17,208.96,209.91,206.34,209.56,437996
14-Jun-17,209.42,212.74,208.83,210.56,709661
13-Jun-17,204.83,210.14,204.36,208.40,712403
12-Jun-17,205.00,205.93,201.10,204.07,905890
9-Jun-17,213.90,215.14,204.63,206.19,1366105
8-Jun-17,218.22,218.58,216.71,217.88,410194
7-Jun-17,218.51,218.63,215.68,218.15,514063
6-Jun-17,217.00,218.43,216.17,217.85,912277
5-Jun-17,217.99,218.21,216.00,217.10,449471
2-Jun-17,215.69,219.41,214.58,218.05,728973
1-Jun-17,213.78,215.49,210.88,215.34,899504
31-May-17,208.91,212.05,208.06,211.72,739070
30-May-17,207.00,208.68,206.68,208.49,467399
26-May-17,207.01,207.72,206.64,207.05,635960
25-May-17,205.41,208.30,205.07,208.04,878783
24-May-17,199.48,206.02,199.48,205.97,1083004
23-May-17,198.85,199.75,198.81,199.25,488886
22-May-17,197.47,198.98,196.51,198.82,603690
19-May-17,195.20,197.25,193.55,195.80,645354
18-May-17,191.26,195.32,189.12,194.71,1097768
17-May-17,195.64,196.04,191.42,191.46,595359
16-May-17,197.78,197.89,196.03,196.23,430058
15-May-17,195.93,198.00,195.64,196.52,828306
12-May-17,195.39,196.39,194.75,195.28,398616
11-May-17,195.54,196.21,194.10,195.38,419787
10-May-17,193.98,196.36,193.40,195.67,649990
9-May-17,192.99,196.02,191.39,195.36,689882
8-May-17,193.19,193.22,191.63,192.29,701723
5-May-17,190.42,193.53,189.64,193.12,779355
4-May-17,187.00,191.08,186.85,190.39,1022371
3-May-17,185.00,187.21,184.36,187.07,913895
2-May-17,182.44,184.49,182.01,184.41,916686
1-May-17,181.00,182.82,181.00,182.16,621486
28-Apr-17,184.46,184.95,181.14,181.39,1068379
27-Apr-17,187.10,188.85,183.77,185.55,2422201
26-Apr-17,181.98,182.49,179.64,180.96,1279470
25-Apr-17,181.04,182.04,179.78,180.59,670350
24-Apr-17,181.71,181.80,179.84,180.59,915542
21-Apr-17,177.61,180.15,177.45,179.30,918114
20-Apr-17,176.79,177.08,175.07,176.91,459924
19-Apr-17,177.01,177.42,175.51,175.71,971667
18-Apr-17,174.84,177.75,174.84,176.63,1208762
17-Apr-17,173.86,175.71,173.86,175.04,676439
13-Apr-17,175.14,175.81,173.94,174.04,690782
12-Apr-17,176.23,176.45,174.81,175.13,691794
11-Apr-17,173.90,175.75,173.00,175.51,781392
10-Apr-17,175.17,176.45,173.19,173.75,1143255
7-Apr-17,182.05,182.87,174.92,175.16,2876994
6-Apr-17,185.11,186.94,184.51,186.00,401850
5-Apr-17,187.15,187.88,184.59,185.14,538995
4-Apr-17,186.71,187.71,185.93,186.36,555012
3-Apr-17,184.07,187.30,184.07,186.23,751133
31-Mar-17,184.02,185.55,183.12,184.30,479884
