Date,Open,High,Low,Close,Volume
7-Jul-17,44.47,44.52,44.24,44.39,9566044
6-Jul-17,44.72,44.85,44.29,44.40,13113019
5-Jul-17,44.79,44.99,44.73,44.82,6853558
3-Jul-17,45.11,45.27,44.76,44.76,6434460
30-Jun-17,44.89,45.12,44.85,44.85,9352785
29-Jun-17,45.13,45.24,44.65,44.83,9283457
28-Jun-17,45.25,45.50,45.23,45.32,9218750
27-Jun-17,45.34,45.40,45.00,45.05,11432191
26-Jun-17,45.32,45.51,45.30,45.43,7747057
23-Jun-17,45.05,45.38,45.03,45.25,9544792
22-Jun-17,45.17,45.28,45.03,45.07,7446300
21-Jun-17,45.62,45.68,45.16,45.22,9515844
20-Jun-17,45.35,45.86,45.32,45.61,14920858
19-Jun-17,45.35,45.38,45.10,45.38,7624663
16-Jun-17,45.31,45.35,45.01,45.31,27025333
15-Jun-17,45.18,45.34,45.04,45.25,9908718
14-Jun-17,45.18,45.47,45.16,45.30,11497520
13-Jun-17,45.00,45.11,44.80,45.03,10023358
12-Jun-17,45.35,45.48,45.15,45.33,11228502
9-Jun-17,45.06,45.35,44.97,45.32,9358824
8-Jun-17,45.39,45.51,45.03,45.13,12878998
7-Jun-17,45.50,45.70,45.35,45.51,12776279
6-Jun-17,45.90,46.06,45.78,45.98,9836725
5-Jun-17,45.78,45.99,45.69,45.99,10015163
2-Jun-17,45.83,45.89,45.60,45.89,9923724
1-Jun-17,45.45,45.79,45.23,45.79,11049283
31-May-17,45.43,45.70,45.37,45.47,14148040
30-May-17,45.16,45.46,45.11,45.43,13093537
26-May-17,45.35,45.56,45.33,45.39,11341383
25-May-17,45.00,45.48,44.97,45.41,16704206
24-May-17,44.51,45.09,44.51,45.03,12872039
23-May-17,44.25,44.60,44.21,44.39,11996138
22-May-17,43.89,44.22,43.81,44.18,12857913
19-May-17,43.85,44.00,43.76,43.90,11796762
18-May-17,43.87,43.96,43.64,43.80,13832197
17-May-17,43.81,44.16,43.71,43.93,14538754
16-May-17,43.87,44.11,43.77,43.85,10454121
15-May-17,43.46,43.76,43.46,43.73,8493046
12-May-17,43.64,43.68,43.46,43.59,7275825
11-May-17,43.49,43.68,43.43,43.67,6860135
10-May-17,43.48,43.62,43.36,43.57,7597653
9-May-17,43.89,43.89,43.38,43.51,8694355
8-May-17,43.59,43.91,43.54,43.89,14284342
5-May-17,43.79,43.84,43.56,43.69,8133039
4-May-17,43.42,43.81,43.40,43.66,10193084
3-May-17,43.33,43.48,43.15,43.32,10389027
2-May-17,43.22,43.44,43.16,43.39,11823916
1-May-17,43.15,43.50,43.10,43.22,13208246
28-Apr-17,42.96,43.20,42.85,43.15,10337768
27-Apr-17,43.17,43.28,42.92,43.01,10386244
26-Apr-17,43.06,43.43,42.98,43.24,13626625
25-Apr-17,42.85,43.43,42.82,43.11,18745112
24-Apr-17,43.24,43.43,43.15,43.28,16703800
21-Apr-17,42.98,43.10,42.89,43.07,13833772
20-Apr-17,43.20,43.30,43.05,43.09,10838274
19-Apr-17,43.74,43.79,43.19,43.23,13893062
18-Apr-17,43.11,43.59,43.09,43.48,13181590
17-Apr-17,42.79,43.07,42.78,43.07,11318086
13-Apr-17,42.87,43.08,42.78,42.79,9891941
12-Apr-17,42.54,42.99,42.51,42.94,13417205
11-Apr-17,42.68,42.75,42.52,42.66,8909379
10-Apr-17,42.73,42.80,42.56,42.69,9426908
7-Apr-17,42.64,42.74,42.51,42.61,11028772
6-Apr-17,42.58,42.76,42.47,42.67,14597765
5-Apr-17,42.65,42.86,42.53,42.57,10142817
4-Apr-17,42.51,42.69,42.37,42.68,10946230
3-Apr-17,42.58,42.62,42.27,42.41,11240037
31-Mar-17,42.55,42.65,42.43,42.44,11551767
30-Mar-17,42.35,42.62,42.26,42.60,11999910
29-Mar-17,42.51,42.52,42.29,42.42,9580060
28-Mar-17,42.24,42.56,42.24,42.43,14123756
27-Mar-17,42.11,42.34,42.05,42.32,12387364
24-Mar-17,42.23,42.25,41.91,42.12,13804411
23-Mar-17,42.21,42.39,42.06,42.17,11503322
22-Mar-17,42.56,42.70,42.25,42.38,11605453
21-Mar-17,42.31,42.63,42.21,42.50,17187257
20-Mar-17,42.10,42.34,42.07,42.18,11484233
17-Mar-17,42.28,42.35,42.01,42.03,37526506
16-Mar-17,42.03,42.39,41.90,42.25,16004192
15-Mar-17,41.98,42.28,41.97,42.12,22757762
14-Mar-17,41.98,42.10,41.83,41.97,9844453
13-Mar-17,41.92,42.12,41.84,42.03,12831543
10-Mar-17,42.23,42.40,42.15,42.29,16369676
9-Mar-17,42.09,42.11,41.92,42.03,14496447
8-Mar-17,42.00,42.02,41.74,41.99,14641689
7-Mar-17,42.00,42.24,41.95,41.99,11273704
6-Mar-17,42.34,42.43,42.12,42.18,16307783
3-Mar-17,42.44,42.49,42.25,42.48,11743030
2-Mar-17,42.08,42.56,42.07,42.47,15507623
1-Mar-17,42.01,42.35,41.88,42.16,14662016
28-Feb-17,41.68,42.07,41.64,41.96,15946816
27-Feb-17,41.75,41.75,41.58,41.67,12186364
24-Feb-17,41.70,41.91,41.60,41.78,13215306
23-Feb-17,41.68,42.00,41.62,41.66,12856844
22-Feb-17,41.51,41.68,41.40,41.60,11186823
21-Feb-17,41.20,41.50,41.20,41.46,17072551
17-Feb-17,41.13,41.36,41.05,41.23,15065148
16-Feb-17,40.55,41.28,40.50,41.20,22214839
15-Feb-17,40.42,40.63,40.40,40.44,26600788
14-Feb-17,40.38,40.60,40.22,40.53,32177836
13-Feb-17,40.77,40.83,40.50,40.62,23617075
10-Feb-17,41.02,41.20,40.55,40.58,28847307
9-Feb-17,41.52,41.68,40.72,41.25,27240268
8-Feb-17,41.91,42.15,41.84,42.02,14219667
7-Feb-17,41.70,41.98,41.67,41.90,13315185
6-Feb-17,41.53,41.67,41.40,41.56,15742824
3-Feb-17,41.58,41.79,41.46,41.54,11882373
2-Feb-17,41.41,41.49,41.25,41.40,9459722
1-Feb-17,41.52,41.66,41.25,41.26,11136077
31-Jan-17,41.39,41.68,41.36,41.57,12677977
30-Jan-17,41.30,41.48,41.20,41.38,11626225
27-Jan-17,41.91,41.95,41.42,41.45,12967361
26-Jan-17,42.03,42.11,41.79,41.81,8977135
25-Jan-17,41.94,42.25,41.90,42.12,12538163
24-Jan-17,41.47,41.97,41.47,41.90,17040102
23-Jan-17,41.31,41.50,41.21,41.43,11628909
20-Jan-17,41.27,41.44,41.13,41.32,14695409
19-Jan-17,41.14,41.29,41.03,41.14,10987072
18-Jan-17,41.25,41.38,41.14,41.29,10390485
17-Jan-17,40.84,41.30,40.80,41.22,12469432
13-Jan-17,41.00,41.04,40.69,40.88,8123494
12-Jan-17,41.01,41.04,40.80,40.95,8541181
11-Jan-17,40.85,41.12,40.83,41.05,9266213
10-Jan-17,41.44,41.44,40.86,41.04,19706782
9-Jan-17,41.23,41.58,41.21,41.32,14822501
